数据集名称,问题,出现次数
2024EarthVQA,Are there any buildings in this scene?,4191
2024EarthVQA,What is the area of buildings?,4191
2024EarthVQA,Are there any roads in this scene?,4191
2024EarthVQA,What is the area of roads?,4191
2024EarthVQA,Is there any water in this scene?,4191
2024EarthVQA,What is the area of water?,4191
2024EarthVQA,Is there any barren in this scene?,4191
2024EarthVQA,What is the area of barren?,4191
2024EarthVQA,Is there any forest in this scene?,4191
2024EarthVQA,What is the area of the forest?,4191
2024EarthVQA,Is there any agriculture in this scene?,4191
2024EarthVQA,What is the area of agriculture?,4191
2024EarthVQA,Are there any playgrounds in this scene?,4191
2024EarthVQA,What is the area of playgrounds?,4191
2024EarthVQA,Is there any residential land in this scene?,4191
2024EarthVQA,Is there any woodland in this scene?,2358
2024EarthVQA,Is there any industrial land in this scene?,4191
2024EarthVQA,Is it a rural or urban scene?,4191
2024EarthVQA,Is there any agricultural land in this scene?,4191
2024EarthVQA,What are the land use types in this scene?,4191
2024EarthVQA,Are there any eutrophic waters in this scene?,2358
2024EarthVQA,How many eutrophic waters are in this scene?,2358
2024EarthVQA,Are there any greenhouses in this scene?,2358
2024EarthVQA,Is there any uncultivated agricultural land in this scene?,2358
2024EarthVQA,What are the water situations around the agricultural land?,2358
2024EarthVQA,What are the water types in this scene?,4191
2024EarthVQA,What are the road materials around the village?,2358
2024EarthVQA,Are there any large driveways (more than four lanes)?,2358
2024EarthVQA,What are the needs for the renovation of villages?,2358
2024EarthVQA,Is there any commercial land in this scene?,1833
2024EarthVQA,Is there any educational land in this scene?,1833
2024EarthVQA,Is there any construction land in this scene?,1833
2024EarthVQA,Is there any park land in this scene?,1833
2024EarthVQA,Is there a school near the residential area?,1833
2024EarthVQA,Is there a commercial area near the residential area?,1833
2024EarthVQA,Is there a construction area near the residential area?,1833
2024EarthVQA,Is there a park near the residential area?,1833
2024EarthVQA,What are the types of residential buildings?,1833
2024EarthVQA,Are there any intersections in this scene?,1833
2024EarthVQA,How many intersections are in this scene?,1833
2024EarthVQA,Are there any bridges in this scene?,1833
2024EarthVQA,Are there any viaducts in this scene?,1833
2024EarthVQA,Are there any intersections near the school?,1833
2024EarthVQA,Are there any viaducts near the residential area?,1833
2024EarthVQA,What are the road types around the residential area?,1833
2024EarthVQA,What are the comprehensive traffic situations in this scene?,1833
2024EarthVQA,Are there any urban villages in this scene?,1833
2024EarthVQA,Are there any villages in this scene?,1833
2024EarthVQA,Whether greening need to be supplemented in residential areas?,1833
2024EarthVQA,What are the needs for the renovation of residents?,1833
2024EarthVQA,What is the situation of barren land?,1833
